epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,377.035,1.08068,0.52568,0.01067,0.97629,0.4516,0.51729,0.3512,1.19349,0.51236,0.0129,0.000742625,0.000742625,0.000742625
43,384.973,1.04065,0.51982,0.01018,0.89115,0.47736,0.72802,0.40847,1.16904,0.45829,0.01345,0.00073025,0.00073025,0.00073025
44,392.581,1.07217,0.53825,0.01075,0.95739,0.45362,0.50584,0.33335,1.17513,0.52877,0.01449,0.000717875,0.000717875,0.000717875
45,400.249,1.06685,0.5489,0.00993,0.9626,0.45246,0.48469,0.34074,1.11578,0.45353,0.01167,0.0007055,0.0007055,0.0007055
46,407.764,1.06034,0.51859,0.00999,0.96362,0.44006,0.48825,0.33263,1.11921,0.50859,0.01194,0.000693125,0.000693125,0.000693125
47,415.797,1.06458,0.54462,0.01056,0.95051,0.449,0.4841,0.33784,1.10214,0.50575,0.01237,0.00068075,0.00068075,0.00068075
48,423.673,1.01669,0.503,0.01036,0.98919,0.43727,0.5135,0.34394,1.1212,0.48615,0.0123,0.000668375,0.000668375,0.000668375
49,431.423,1.02209,0.48961,0.00986,0.9723,0.4632,0.54173,0.35691,1.15704,0.48223,0.01292,0.000656,0.000656,0.000656
50,438.891,1.04404,0.49663,0.00992,0.81841,0.73145,0.73246,0.43738,1.14726,0.46481,0.01297,0.000643625,0.000643625,0.000643625
51,446.623,1.02338,0.47917,0.00997,0.76647,0.73145,0.7282,0.41409,1.14639,0.49508,0.01273,0.00063125,0.00063125,0.00063125
52,454.218,1.02651,0.50291,0.00947,0.82918,0.7335,0.73231,0.41943,1.12267,0.45062,0.01201,0.000618875,0.000618875,0.000618875
53,462.303,1.03083,0.49451,0.00983,0.95992,0.46086,0.60286,0.36312,1.16794,0.4826,0.01305,0.0006065,0.0006065,0.0006065
54,470.658,1.03561,0.46711,0.00954,0.7849,0.73145,0.73973,0.41925,1.11416,0.44834,0.01184,0.000594125,0.000594125,0.000594125
55,478.984,1.00379,0.45658,0.00923,0.82879,0.72941,0.73088,0.42382,1.09625,0.42229,0.01177,0.00058175,0.00058175,0.00058175
56,486.877,1.02236,0.49323,0.00943,0.98746,0.43364,0.51943,0.35966,1.10928,0.40056,0.01181,0.000569375,0.000569375,0.000569375
57,494.684,0.98683,0.46558,0.00978,0.69659,0.62581,0.60504,0.37555,1.13488,0.47651,0.01203,0.000557,0.000557,0.000557
58,502.874,0.97255,0.46171,0.00933,0.97871,0.44921,0.55699,0.34791,1.11257,0.46308,0.01182,0.000544625,0.000544625,0.000544625
59,510.679,0.99171,0.46311,0.00969,0.97907,0.44232,0.56911,0.36758,1.09883,0.45807,0.0118,0.00053225,0.00053225,0.00053225
60,518.367,1.01236,0.45655,0.00954,0.95144,0.45666,0.54035,0.35273,1.13792,0.45435,0.01219,0.000519875,0.000519875,0.000519875
61,526.168,0.99044,0.4671,0.0101,0.78238,0.72941,0.74808,0.41314,1.13268,0.43992,0.01226,0.0005075,0.0005075,0.0005075
62,534.544,1.01266,0.49319,0.00924,0.88558,0.71751,0.75453,0.42893,1.10285,0.40394,0.01163,0.000495125,0.000495125,0.000495125
63,542.673,0.97507,0.43194,0.00948,0.89988,0.7203,0.85556,0.41325,1.13352,0.42613,0.01207,0.00048275,0.00048275,0.00048275
64,550.976,0.98616,0.46028,0.00956,0.88189,0.72326,0.85247,0.4507,1.12209,0.4276,0.01194,0.000470375,0.000470375,0.000470375
