epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,799.272,0.27829,0.29826,0.00103,0.92752,0.91488,0.96171,0.95373,0.17301,0.18436,0.00103,0.000742625,0.000742625,0.000742625
43,818.273,0.26324,0.28614,0.00104,0.90921,0.92493,0.96449,0.94921,0.20262,0.19224,0.00114,0.00073025,0.00073025,0.00073025
44,837.113,0.26386,0.29915,0.00104,0.94142,0.91121,0.96943,0.95802,0.18578,0.19366,0.00116,0.000717875,0.000717875,0.000717875
45,855.889,0.25957,0.28453,0.00118,0.96213,0.93172,0.98422,0.97425,0.15846,0.13703,0.00095,0.0007055,0.0007055,0.0007055
46,874.655,0.26407,0.26948,0.00109,0.93423,0.91577,0.96958,0.96054,0.16314,0.16588,0.00097,0.000693125,0.000693125,0.000693125
47,893.419,0.25545,0.29525,0.00107,0.89228,0.92058,0.96603,0.9554,0.17409,0.18469,0.00089,0.00068075,0.00068075,0.00068075
48,912.079,0.25488,0.276,0.00101,0.92088,0.90486,0.95006,0.94025,0.15325,0.19216,0.00083,0.000668375,0.000668375,0.000668375
49,931.055,0.25297,0.27709,0.00094,0.96786,0.90697,0.95976,0.94831,0.15355,0.18434,0.00088,0.000656,0.000656,0.000656
50,950.13,0.26013,0.29028,0.00105,0.89771,0.91926,0.96313,0.953,0.14966,0.18704,0.0008,0.000643625,0.000643625,0.000643625
51,968.884,0.25017,0.293,0.00095,0.91144,0.92376,0.96238,0.95405,0.18953,0.17873,0.00098,0.00063125,0.00063125,0.00063125
52,987.736,0.24559,0.26894,0.00101,0.90732,0.93299,0.96528,0.95471,0.14943,0.16473,0.00097,0.000618875,0.000618875,0.000618875
53,1006.71,0.24502,0.28181,0.001,0.96354,0.93829,0.98332,0.97615,0.15164,0.13576,0.00087,0.0006065,0.0006065,0.0006065
54,1025.82,0.23262,0.23258,0.00092,0.9498,0.93604,0.97897,0.97312,0.13818,0.1417,0.0008,0.000594125,0.000594125,0.000594125
55,1044.44,0.25172,0.25767,0.00093,0.91423,0.95693,0.97646,0.96505,0.17783,0.15954,0.00097,0.00058175,0.00058175,0.00058175
56,1062.71,0.23166,0.26658,0.00088,0.92614,0.94855,0.97413,0.96516,0.1568,0.15439,0.00088,0.000569375,0.000569375,0.000569375
57,1081.77,0.25036,0.257,0.00098,0.96101,0.93005,0.97635,0.96935,0.16132,0.15632,0.00097,0.000557,0.000557,0.000557
58,1100.41,0.238,0.2383,0.00089,0.97693,0.92392,0.98184,0.9757,0.1311,0.13876,0.00082,0.000544625,0.000544625,0.000544625
59,1119.1,0.23175,0.2539,0.00088,0.95949,0.93036,0.97811,0.97191,0.14015,0.15027,0.00078,0.00053225,0.00053225,0.00053225
60,1137.79,0.23854,0.26422,0.00089,0.9273,0.95228,0.97575,0.96878,0.12538,0.13322,0.00071,0.000519875,0.000519875,0.000519875
61,1156.47,0.22551,0.21778,0.00084,0.93798,0.93598,0.97204,0.96698,0.12992,0.14946,0.00078,0.0005075,0.0005075,0.0005075
62,1175.41,0.22322,0.24967,0.00082,0.94249,0.94868,0.97839,0.97003,0.13835,0.14086,0.00068,0.000495125,0.000495125,0.000495125
63,1194.7,0.22946,0.23764,0.00085,0.95943,0.94021,0.98989,0.98327,0.13439,0.124,0.0007,0.00048275,0.00048275,0.00048275
64,1214.52,0.21905,0.21993,0.00088,0.9278,0.93192,0.98043,0.97329,0.14443,0.14634,0.0008,0.000470375,0.000470375,0.000470375
65,1233.68,0.23554,0.23629,0.0009,0.92401,0.95956,0.983,0.97486,0.14072,0.12641,0.00082,0.000458,0.000458,0.000458
66,1253.47,0.21334,0.21007,0.00082,0.95803,0.93216,0.98328,0.97769,0.11555,0.13008,0.00064,0.000445625,0.000445625,0.000445625
67,1274.16,0.22183,0.24424,0.0008,0.95455,0.92393,0.98113,0.97337,0.12338,0.13206,0.00058,0.00043325,0.00043325,0.00043325
68,1294.91,0.20954,0.21401,0.00082,0.95194,0.95678,0.98665,0.98196,0.11659,0.12358,0.0006,0.000420875,0.000420875,0.000420875
