epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,331.19,1.09666,0.63025,0.01095,0.9811,0.42693,0.45954,0.33347,1.26076,0.70224,0.01398,0.000742625,0.000742625,0.000742625
43,338.594,1.08717,0.60416,0.01095,0.98072,0.42987,0.4597,0.31529,1.36984,0.74653,0.0175,0.00073025,0.00073025,0.00073025
44,345.84,1.09444,0.56991,0.01143,0.98584,0.42003,0.45495,0.32933,1.33217,0.71034,0.01548,0.000717875,0.000717875,0.000717875
45,353.137,1.13521,0.59226,0.01073,0.97409,0.44459,0.45728,0.34067,1.3051,0.63699,0.01463,0.0007055,0.0007055,0.0007055
46,360.592,1.0931,0.56951,0.01086,0.97424,0.44133,0.45941,0.33912,1.27575,0.65813,0.0136,0.000693125,0.000693125,0.000693125
47,367.842,1.11351,0.62566,0.01106,0.99502,0.42033,0.46139,0.34015,1.25759,0.63664,0.01371,0.00068075,0.00068075,0.00068075
48,374.954,1.06953,0.58602,0.01145,0.97428,0.4346,0.45933,0.33729,1.33231,0.65456,0.01568,0.000668375,0.000668375,0.000668375
49,382.082,1.14325,0.62414,0.0114,0.98046,0.43417,0.46493,0.34262,1.2368,0.66035,0.01371,0.000656,0.000656,0.000656
50,389.847,1.05584,0.58121,0.01061,0.98086,0.43444,0.46705,0.33895,1.24308,0.65534,0.01315,0.000643625,0.000643625,0.000643625
51,397.815,1.0308,0.54821,0.01052,0.97017,0.43484,0.4601,0.34242,1.26707,0.64823,0.0137,0.00063125,0.00063125,0.00063125
52,405.586,1.08935,0.59055,0.01103,0.99562,0.42902,0.46075,0.34084,1.22751,0.66395,0.01312,0.000618875,0.000618875,0.000618875
53,413.275,1.11105,0.6152,0.01049,0.97999,0.43369,0.45879,0.33748,1.28853,0.66525,0.01374,0.0006065,0.0006065,0.0006065
